category,description
business,"Wall Street jobs are scarce these days, but here’s a rare bright spot: The new chief of Cantor Fitzgerald & Company, a unit of Cantor Fitzgerald LP, says the unit is looking to hire as many as 100 professionals for its fixed-income business this year."
business,"In the race to make the lithium-ion batteries that will run the electric cars of the future, the United States is losing to Asian countries, and start-ups and big companies need to band together to build a lithium-ion battery industry in the United States, says Jim Greenberger."
business,"If success has many fathers, the same can be said for GoCrossCampus, the popular college Web game that I wrote about in Friday’s New York Times."
business,How did Citigroup trounce JPMorgan Chase and Bank of America?
entertainment, Opening This Week 
entertainment," AMERICAN MUSEUM OF THE MOVING IMAGE — Rescued Treasures From the Library of Congress. Today, 2: Hitchcock's ""Spellbound"" (1945; at 4: Dieterle's ""Portrait of Jennie"" (1948). Christine Vachon and Killer Films. Sat., 1: Haynes's ""Dottie Gets Spanked"" (1993) with Hestand's ""He Was Once"" (1989); at 2: Harron's ""I Shot Andy Warhol"" (1996); at 4:30: Haynes's ""Velvet Goldmine"" (1998). Repertory Nights. Sat.-next Sun., 7:30: Melville's ""Bob le Flambeur"" (1955). 35th Ave. at 36th St., Astoria, Queens. (718-784-0077) "
entertainment,"An unsolved mystery is always fascinating; when that mystery involves a famous name and talk of gruesome circumstances, it can become a national obsession (see Simpson, O. J.). Such was the case with Michael Rockefeller's strange disappearance in Dutch New Guinea, which briefly dominated newspaper headlines in the fall of 1961. The event was newsworthy primarily because Michael happened to be the son of Nelson Rockefeller, then Governor of New York, and the great-grandson of John D. Rockefeller. But the story grew larger and more lurid because of persistent unproven rumors that Mr. Rockefeller, who was 22, had been killed and perhaps cannibalized by tribal headhunters."
entertainment,"ALIENS, angels and fugitives from justice wouldn't seem to have much in common, but for television viewers, these three constituencies share something important: they're on the run, or at least on the road, in a number of classic and current series."
entertainment,"BARRY BONDS may have hit 73 home runs last season, but a few years earlier he couldn't hit any off Henry Rowengartner, a 12-year-old who lives out a major league dream in ROOKIE OF THE YEAR (1993). Mr. Bonds is one of several real-life ballplayers to put in cameos in the film, stopping by just long enough to swing and miss against young Henry, appealingly played by Thomas Ian Nicholas. Some benign medical malpractice gets it all started: when Henry breaks his arm, whoever puts it back together doesn't quite do the job properly, and suddenly the boy can throw a 100-mile-per-hour fastball. The Chicago Cubs find out, sign him, and the rest is a pleasantly predictable baseball romp, perfect for this time of year - Thursday at 8 p.m. on the Family Channel."
entertainment,"When Kenn Viselman polled preschoolers about the qualities they'd most like to find in a playmate, the result was neither fish nor fowl - or even boy or girl."
entertainment,"Christmas is fast approaching and Chuckie, the paranoid spectacled toddler in Nickelodeon's ''Rugrats,'' detects disturbing pattern in the holiday frenzy. ''First,'' he says in a hushed voice to his best friend, Tommy, ''it gets really, really cold. Then the grown-ups start acting real nice and smile all the time, and that's not the worstest part. . . .''"
entertainment,This issue of Televison introduces some new features and some improvements on familiar ones.
entertainment,"From her conception at the hands of the sculptor Auguste Bartholdi to her transformation as a beacon of hope for immigrants to this country, the history of the Statue of Liberty is traced in ''Lady Liberty: Symbol of Dreams,'' which will be shown tonight at 9 on the Travel Channel. At 9 a.m. on Friday, ''The Magic of Central Park'' begins the channel's all-day tribute to America's most famous travel destinations."
entertainment,"In Robert Parrish's SADDLE THE WIND (1958), an intelligent little western about two brothers, John Cassavetes is a trigger happy extrovert and Robert Taylor, a gunfighter turned solid citizen. With his probing expressions Taylor (above with Julie London), in one of his final screen protrayals, makes us realize what a good restrained actor he was, although reviewers often ignored it. There's a grim showdown and the emphasis is on talk. Rod Serling's dislogue is excellent - blunt, thoughful and scathing, and the movie is admirably compact and well played, from the three stars to the affecting performance by Royal Dano in a sequence so strong that is almost cuts the picture in two - THURSDAY at 4 P.M. on TNT."
health," HONG KONG, May 2 — SARS appears to be spreading in Taiwan now as fast or faster than anywhere except mainland China, prompting a desperate effort by Taiwanese officials to contain the disease. "
health,"WASHINGTON, Dec. 23 - The Bush administration said today that Medicare would soon pay for counseling to help beneficiaries stop smoking, a major expansion of the services covered by the program."
health,"Two teams of federal and university scientists announced today that they had resurrected the 1918 influenza virus, the cause of one of history's most deadly epidemics, and had found that unlike the viruses that caused more recent flu pandemics of 1957 and 1968, the 1918 virus was actually a bird flu that jumped directly to humans."
health,"GAITHERSBURG, Md., Feb. 9 Â Stimulants like Ritalin could have dangerous effects on the heart, and federal drug regulators should require manufacturers to provide written guides to patients and place prominent warnings on drug labels describing these risks, a federal drug advisory panel voted today."
health,"WASHINGTON, Sept. 7 Â The Bush administration illegally withheld data from Congress on the cost of the new Medicare law, and as a penalty, the former head of the Medicare agency, Thomas A. Scully, must repay seven months of his salary to the government, federal investigators said today."
health," THE CLAIM Cut or shave your hair, and it will grow back faster and thicker. "
health,"Closing a hole in the heart that as many as 25 percent of adults have from birth did not prevent major migraine headache attacks, according to the initial results from a British clinical trial presented today at a cardiology meeting in Atlanta."
health, Aresearcher in the Army's leading anti- bioterrorism laboratory accidentally infected himself with a dangerous bacterial disease of horses and people that had not been seen in a human in this country for more than 50 years. 
health," ALIGN=""Left"" WIDTH=""184"" BORDER=0 HSPACE=3 VSPACE=3> DIVING IN: Beads mark the entrance to Next Generation Yoga. (Rebecca Cooney for New York Today) "
health, The doctor is about to say something and it does not look good. How can patients elicit information and encouragement?
politics,"Obama takes the gloves off for Biden, and Congress grills tech executives. It’s Thursday, and this is your politics tip sheet. Sign up here to get On Politics in your inbox every weekday."
politics,"As the midterm primary season nears an end, candidates endorsed by former President Donald J. Trump have continued to rack up primary wins, but with a handful of prominent losses."
politics,"With union members chanting “Bernie! Bernie!” behind him, Senator Bernie Sanders sought to burnish his populist credentials for president on Thursday as he introduced a bill to protect the pensions of millions of retirees from the threat of deep cuts."
politics,"Former Vice President Joseph R. Biden Jr. announced Thursday that he would seek the Democratic nomination to challenge President Trump in 2020, casting the election as a national emergency and asking Democrats to put the task of defeating Mr. Trump above all their other ambitions."
politics,"MACON, Ga. — Senator Kelly Loeffler issued a now-familiar warning during a campaign event on Wednesday in Bibb County: If Democrats win the Georgia Senate runoff elections, there will be little left to stem a rising tide of extremist socialism in America."
politics,"Vice President Mike Pence approached his task on Wednesday as he has approached his four years as the executive straight man to an unruly leader: not merely defending President Trump but effectively insisting, with poker-faced conviction, that those who doubt his boss should not believe their eyes and ears."
politics,"Senior advisers to former President Donald J. Trump have been working more attacks on Vice President Kamala Harris into the speeches and messaging planned for the Republican National Convention next week, according to two people briefed on the deliberations who were not authorized to discuss them publicly."
politics,Good Wednesday morning. Here are some of the stories making news in Washington and politics today.
politics,"[Here’s how to vote in Ohio, New York, New Jersey, Kentucky, and Virginia.]"
politics,"He has repeatedly accused three Black prosecutors investigating him of “reverse racism.” He told a gathering of Black Republicans that Black people like him because he, too, has been charged by the criminal justice system. And he has suggested that Black people relate to his mug shot."
sports,"After chasing the world’s fastest marathon runner for the better part of the last decade  at races, at his home and in New York  Mary Wittenberg, the president of New York Road Runners, finally caught up to Haile Gebrselassie in southern Ethiopia. "
sports,"WILMINGTON, Mass. — Jarome Iginla calls it “the driver.” It has nothing to do with golf clubs or chauffeurs, but instead refers to a mind-set, a laserlike pursuit of the missing item on an almost certain Hall of Fame résumé: a Stanley Cup title."
sports,"FOXBOROUGH, Mass. — There was a hard and fast rule in the dugout of the University of Memphis baseball team: no cellphones. But on a Sunday in April 2006, Coach Daron Schoenrock  allowed his No. 2 starting pitcher to bring his cellphone to the game."
sports,"RIO DE JANEIRO — Michael Phelps won a gold medal on Tuesday night, which is almost ordinary by now. It was his 20th Olympic gold."
sports,"You probably think rabid sports fans are a bunch of lonely, disoriented souls who try to fill the holes in their lives by attaching themselves to a team. And you’re probably wrong."
sports,"Joe Nedney shook off a missed field goal as time expired in regulation and kicked a 40-yarder 4 minutes 40 seconds into overtime Sunday, sending the visiting San Francisco 49ers past the Seattle Seahawks, 33-30."
sports,"Jordyn Wieber, a composed 16-year-old from DeWitt, Mich., has done everything possible to become the favorite to win the all-around gold medal in women’s gymnastics at the Olympics this summer."
sports,"Kyle Snyder of the Red Sox has the sharpest shoes in Boston, the coolest kicks in town and the sweetest slip-ons in New England. Each of Snyder’s white shoes has a picture of his teammate David Ortiz’s happy, smiling face."
sports,"Those final few minutes, just before kickoff, have been mapped out with almost military precision. At exactly 8:50 p.m. local time, a disinfected Champions League match ball will be placed on a ceremonial plinth. At 8:53 p.m., the players will leave their locker rooms. The teams will enter the field, separately, no more than two and a half minutes later."
sports,"Harrison, N.J."
business,$20 MILLION
business,"An experimental vaccine against dengue fever being developed by Sanofi proved about 60 percent effective in its second large clinical trial. The results could clear the way for the introduction of the world’s first inoculation against the disease, which is mosquito-borne and becoming an increasing threat."
business,Amazon is the most obscure large company in the tech industry.
business,"For much of last year, tech companies stumbled. Digital ad sales plunged. E-commerce sputtered. IPhone production stalled. And investors lost faith."
business,"The worst is yet to come for the mergers and acquisitions market: That is the conclusion of a new analysis by Bernstein Research, which projects that the drop-off in M&A activity will accelerate in 2009 and won’t bottom out until 2010."
business,"Abstinence programs do not have an impressive track record. That’s true in this country as well as in Africa, where the high H.I.V. rates often make the consequences of unprotected teenage sex much worse. "
business,"A fast-growing class of properties in New York is encouraging people not only to visit, but to stay awhile."
business,"Lone Star Funds, the Dallas-based private equity firm, has agreed to buy IKB Deutsche Industriebank after the German bank collapsed, becoming the country’s first casualty of the subprime mortgage crisis."
business,"Some of the nation’s universities are trying to sell chunks of their portfolios privately as their endowments swoon with the markets, The New York Times’s Claire Cain Miller and Geraldine Fabrikant write."
business,"SAN FRANCISCO — Pinterest has avoided many of the woes of other newly public tech companies. But on Thursday, it stumbled."
entertainment,"HERMAN MELVILLE called the title character of BARTLEBY (2001) ''a scrivener the strangest I ever saw or hear of,'' and Jonathan Parker's film version of the 1853 Melville novel makes that clear. Updated, Bartleby (Crispin Glover) is an office clerk who does something odd. One day his boss (David Paymer) asks him to verify a notice of petition to administer an estate and Bartleby says, ''I would prefer not to.'' He begins saying the same thing to every request, and no one at the office (his co-workers include Maury Chaykin, whose character isn't smart enough to close the cover on the photocopier) knows what to do. When Bartleby's boss fires him, he continues to come in. The next step is to mmove the office to a new building and hope that Bartleby can't find it - Friday at 9 p.m. and Friday/Early Saturday at 5 a.m.: on Sundance."
entertainment,"Generally fast, funny, festive and bright, THE GREAT RACE (1965) is a long, bulging movie comic-strip, culled from the good old days of sneering culprits, daredevil heroes, brave beauties and flying custard pies. A scrambly, international marathon of early-1900 autos, it carries the likes of Tony Curtis, Natalie Wood and Dorothy Provine, under Blake Edwards's blithe direction. The show-stealer is a sneering and villainous Jack Lemmon (above with Peter Falk). Expect a few lulls but not many. For the record, a song called ''The Sweetheart Tree'' copped an Oscar as the year's best ballad and then disappeared -- SATURDAY at 11 A.M. on FAM. Howard Thompson"
entertainment,"The concept of Smell-o-Vision never really took hold in America's movie theaters, but it's very nearly a reality in John Waters's ""Hairspray."" During this bright, bouncy film's opening montage of early 60's teen-agers preparing their coiffures for a television dance program, it's almost possible to sniff the huge clouds of poison they spray onto their teased, empty heads. Such is the realism of ''Hairspray,'' which is hardly the only film to recapture this period (roughly that of ''American Graffiti'') but may be the worst looking. That &#151; a merry cavalcade of the period's most authentically awful props, fads and textiles &#151; appears to be exactly what Mr. Waters was after."
entertainment," Having rushed big summer movies onto DVD and VHS in time for the holidays, home video isn't letting up on the accelerator with major titles from theater runs in December. Last week Columbia TriStar set a release date of March 25 for ""Maid in Manhattan,"" the Jennifer Lopez vehicle. This week Warner scheduled ""Harry Potter and the Chamber of Secrets"" for April 11. "
entertainment," Opening This Week ""ABOUT SCHMIDT"" — Alexander Payne's drama stars Jack Nicholson, Hope Davis, Dermot Mulroney and Kathy Bates in the tale of a newly retired, newly widowed Omaha insurance man who sets out in his Winnebago on a whim to visit his estranged daughter. When it was shown as the opening-night selection of this year's New York Film Festival, Stephen Holden wrote: ""Instead of flash, what Mr. Nicholson brings to his role is a sorrowful awareness of human complexity whose emotional depth matches anything he has done in the movies before."" (R) (2:05) Opens Fri. A related article is on Page 1. "
entertainment,"MADE for television, the movie ""A MOTHER'S PRAYER"" is based on a true story about one of the five million children who will be orphaned by AIDS by the turn of century. The film highlights the tragic dilemmas -- and options -- that families and the system face in trying to provide for children left behind by the disease."
entertainment,"WE'VE seen so much of it before. Young, pretty Miss Bouvier, hoisting her oversize press camera as The Washington Times Herald's inquiring photographer. Elegant Mrs. Kennedy, taking Paris by storm, then - seconds later, it seems - holding America together in the days after her husband's assassination. Glamorous Mrs. Onassis, beaming at her Greek wedding and relaxing on her second husband's yacht. And finally Jackie - just Jackie, because her own identity transcended those of the men she married - working for a book publisher in Manhattan, standing proud beside her grown children, strolling in Central Park with Maurice Tempelsman, the last man she loved."
entertainment,"IN ''Rebecca,'' Daphne du Maurier's classic Gothic tale of romance and murder, the second Mrs. de Winter is forced to compete with the larger-than-life memory of her predecessor, the dead but unforgettable Rebecca. And in their new television film of the story, the producers have had to contend with a ghost of their own: the ghost of Alfred Hitchcock's 1940 ''Rebecca,'' starring Laurence Olivier and Joan Fontaine."
entertainment," Aside from a few bright spots, video proceeded uninspiringly last week. Dealers report increased interest in movies with violent and terrorist leanings, not that those were ever weak categories. ""The Siege"" is most talked about, with its terrorist attack on New York, but Video Hound's Golden Movie Retriever lists more than 300 titles under the terrorism heading. "
entertainment,"Gary Cooper and Ingrid Bergman play period birds of prey in high-style plumage in Sam Wood's SARATOGA TRUNK (1945), based on Edna Ferber's novel of a New Orleans vixen and a cowboy bucaneering among railroad tycoons. The picture brims with so much color, from the French Quarter of Old New Orleans to the upstate New York resort hotel in Saratoga, that some viewers recall its black-and-white scenes in Technicolor. It is rarely shown on TV, or anywhere, so a taping might be in order to savor the glamorous adventurers whom Ferber fondly christened Clint Maroon and Clio Dulaine -- THURSDAY/EARLY FRIDAY at 2 A.M. on TURNER CLASSIC MOVIES. Howard Thompson"
health,"AARP, the advocacy group for older Americans, lists 15 warning signs that should alert drivers to the need to limit driving or stop driving entirely. If you have just one or two of these signs, you should consider having your driving assessed by a professional, attending a driver refresher course or both."
health," The most widely prescribed drug for Alzheimer's disease, Aricept, does not delay the onset of disability or the need for placement in a nursing home, British researchers are reporting. They say that the drug has ""disappointingly little overall benefit"" and is not cost effective, and that better treatments are needed. "
health,"For the first time, researchers say, a vaccine against malaria has shown that it can save children from infection or death."
health," Anew study has found that giving chemotherapy every two weeks instead of the usual three significantly delayed relapses and improved the survival of women with breast cancer. Reporting the findings yesterday, doctors said it could prompt a major change in the way breast-cancer patients — and perhaps even people with other kinds of cancer — are treated. "
health,"Taking on one of the most highly charged questions in the abortion debate, a team of doctors has concluded that fetuses probably cannot feel pain in the first six months of gestation and therefore do not need anesthesia during abortions."
health," As smallpox vaccination for the public comes closer, many experts say the risky vaccine should not be offered to children and teenagers, even on a voluntary basis. "
health," Anew study finds large differences in how four different vaccination strategies would fight a smallpox terror attack, with the best resulting in 440 deaths and the worst 110,000 deaths. "
health," Testosterone, often referred to as the male hormone, appears to play a role in maintaining mental sharpness as men age, researchers have found. "
health," Fifty years ago, the federal government set up an elite corps of medical detectives to counter a threat it hoped never to face. Now, with the emergence of anthrax, that corps, the Epidemic Intelligence Service, is facing the challenge of that mission: tracing the cause and stemming the spread of a disease that that may have been deliberately introduced — in other words, a biological attack. "
health," Influenza has killed 93 children under age 18 since last October, but there is no way to determine whether the current season is more severe for children than earlier years, the Centers for Disease Control and Prevention said today. "
politics,"Nikki Haley, battling attacks from Donald J. Trump that she is too liberal and accusations from Ron DeSantis that she has been hiding from voters and reporters, hit back on Thursday, taking questions and defending her conservative credentials."
politics,"Voting rights activists, on the defensive this year in the face of a wave of restrictive new voting laws, grappled on Thursday with new guidance from the Supreme Court signaling that the challenge will be even steeper now for opposing these laws in court."
politics,"For the first time since Donald J. Trump was indicted in the spring of 2023, he has lost his grip on the news cycle and — temporarily at least — his message. Instead of commanding morning-to-night media attention, the former president and his allies suddenly find themselves reacting to their opponents."
politics,"TIBURON, Calif. — In January 2011, four and a half years before Donald Trump glided down the escalator at Trump Tower and began a campaign for the White House that few conservatives were taking seriously, Michael Savage invited him on the radio and declared that he had found a president. It was their first interview."
politics,"MASON CITY, Iowa — Kristen Marttila’s alarm went off at 6 a.m. on Saturday and soon she was filling up two thermoses — one with hot water, one with soup — to gird for the day ahead: a two-hour drive to Mason City to campaign for Senator Elizabeth Warren in the icy cold."
politics,"ATLANTA — Senator David Perdue of Georgia’s re-election campaign was assailed on Monday for a Facebook advertisement that enlarged the nose of his Democratic opponent, Jon Ossoff, who is Jewish, in a portrayal that critics immediately denounced as anti-Semitic."
politics,"Peter Meijer, the one-term Republican congressman who lost his seat after voting to impeach President Donald J. Trump, has announced he is running for Senate in Michigan, jumping into a crowded primary in a key battleground."
politics,"WASHINGTON — President Trump and congressional Republicans, who are eager to find an issue that can help minimize the losses they expect in the midterm elections, are leaning hard into crime, illegal immigration and public safety to paint a bleak picture of how the country would become less safe under a Democratic-controlled Congress."
politics,"Robert F. Kennedy Jr., the independent presidential candidate, said this week that he would cut military spending by half by the end of his first term as president, and said the United States should have a reduced role in global affairs."
sports,LAS VEGAS — Knicks General Manager Glen Grunwald recognizes that the landscape of the Eastern Conference has changed.
sports,"The Athletic, the sports journalism subscription website that became a bright spot for a beleaguered industry in recent years, said in a memo Friday that it is laying off 46 employees in its editorial and business departments, amounting to 8 percent of its staff."
sports,"MILWAUKEE  Call it spin or delusion, but the Mets say they do not care as much about their record as they do their place in the standings. Thinking that way has comforted them, consoled them during this challenging time. But now that they are losing ground in the National League East as quickly as they are losing games, there is no other way to twist their plight."
sports,"INDIAN WELLS, Calif. — In his first singles match in more than 18 months, Mardy Fish held two match points in the third set Thursday at the BNP Paribas Open before falling to Ryan Harrison, 6-4, 4-6, 7-6 (3)."
sports,Serena Williams’s fellow tennis professionals already know what their sport is like without her.
sports,"In his first two seasons as general manager of the Los Angeles Angels, Jerry Dipoto watched his team all but disappear from contention in the early-season quicksand. In 2012, the Angels doomed themselves with a 6-14 start. Last year, they lost 22 of their first 33."
sports,"HARRISON, N.J. — Early in the 2012 N.F.L. season, a pivotal, disputed call in Seattle’s last-gasp victory against Green Bay led to a quick resolution of the league’s labor dispute with its officials."
sports,"For four days Ryan Church had been asking the Mets if he could stop by the clubhouse, and for four days they had told him no. But on Sunday, with Church scheduled to begin exercising again the next day, they granted his request."
sports,"The public response Monday to Jason Collins’s announcement that he was gay was overwhelmingly supportive, at least among other professional athletes."
sports,"Acrobatic saves, pucks off posts, a few skirmishes and near fights. It was no surprise that the second Brooklyn battle between the Rangers and the Islanders had them all. Finally, after nearly two scoreless periods of breathless action, there were a few goals, too."
business,"The Justice Department has begun a criminal investigation into Boeing after a panel on one of the company’s planes blew out on an Alaska Airlines flight in early January, a person familiar with the matter said."
business," John M. Youngdahl, a former senior economist at Goldman Sachs , pleaded guilty today to criminal charges in connection with the purchase of about $318 million of 30-year bonds and bond futures minutes ahead of the Treasury's announcement in 2001 that it was ending the sale of the 30-year bonds. "
business,"Warren E. Buffett has long been an proponent of transparency and a critic of murky financial instruments. Now, as his investment firm’s stock takes its worst beating in years, America’s avuncular prophet of capitalism is promising to shed some light on his own opaque investments, The New York Times’s Michael J. de la Merced writes."
business,"Silicon Valley, the wellspring of the digital technologies fueling globalization, is itself a collection of remarkably local clusters based on industry niches, skills, school ties, traffic patterns, ethnic groups and even weekend sports teams, The New York Times says."
business,"LONDON – Seeing the recent success of Topshop, Uniqlo and other overseas low-cost retailers among United States consumers, the Anglo-Irish retailer Primark said on Wednesday that it planned to open its first store in the country next year."
business,BRUSSELS — Sharply divided European leaders faced mounting signs on Monday that the debt crisis was striking at the heart of the euro zone.
business,"Last week, I attended the annual Aspen Ideas Festival, which features discussions with leading experts and thinkers across industries. This year’s program covered five tracks, including one called “Women + Girls: The Solution.” The agenda refers to a point made by festival presenters: only by helping women and girls achieve their full potential and using all of the brainpower available to us, can we hope to solve the world’s problems."
business,Q. I have seen some computers listed as having an “Atom” processor. What is this and can it run Windows?
business,WASHINGTON — The Federal Reserve’s meeting this month was never going to be an easy one given that officials remain split over when — or whether — to cut interest rates. The last few weeks could set the Fed up for an even more difficult call.
business,"More than three decades after the last Apollo astronauts roamed the lunar surface, disparate universities, open-source engineers and quixotic aerospace start-ups are planning to start their own robotic missions to the Earth’s barren cousin."
entertainment,"ED Sullivan may best be remembered for introducing the Beatles to America. But the impresario whose promise of ''a rilly big shew'' drew millions of viewers every Sunday night from 1948 to 1971 also brought many ''rilly big'' opera stars into homes across the country, often for the first time. The list of singers who appeared is formidable: Renata Tibaldi, Joan Sutherland, Richard Tucker and Franco Corelli are some."
entertainment,"COULD Jack Paar make time for an interview about the public television documentary on his broadcasting career? ''We'll try for an hour,'' said the publicity man for WNET. ''But be prepared to stay longer,'' he added. ''Jack likes to talk, you know.''"
entertainment,"After the third day of filming ''The Original Wives Club,'' the 10th episode in the HBO mini-series ''From the Earth to the Moon,'' the director, Sally Field, lay sprawled on the floor and begged anyone within earshot to ''just shoot me.''"
entertainment,"A sizzling little western co-starring two Hollywood legends, a fable set in London, an expert version of a classic play about journalists and a salute to a yesteryear's Cuba are standouts on this week's movie schedule."
entertainment,"THE ''Sex and the City'' side of Sarah Jessica Parker was bubbling to the surface way back in the Reagan administration: there she is in FOOTLOOSE (1984), unable to restrain herself from leaping up and dancing, even though such activity has been expressly forbidden by the local clergyman (John Lithgow), who opens the film by preaching a memorable tirade against the evils of rock 'n' roll. Almost everyone in the conservative rural town is following his lead, but lurking in the congregation is Kevin Bacon, a high schooler who has just moved down from Chicago. He sets out to get teenagers dancing again, and with the help of the minister's daughter, played by Lori Singer, and her friend Rusty (Ms. Parker), he succeeds -- Saturday at 10:30 p.m. on TNT."
entertainment,"CHRISTOPHER Keyser, a creator of the Fox Network's ''Party of Five,'' is finally able to chuckle over the dark season that followed the fall 1994 debut of the unusual family drama. Now that the critically lauded, ever more popular ''Party of Five'' begins its third season on Wednesday, Aug. 21, Mr. Keyser says he can at last stop crossing his fingers overthe fate of his once left-for-dead series."
entertainment,"EARLY in John Cameron Mitchell's HEDWIG AND THE ANGRY INCH (2001), Hedwig (Mr. Mitchell) reflects on his East German childhood: ''Our apartment was so small that Mother made me play in the oven.'' Later, when Hedwig meets a teenage boy, Tommy (Michael Pitt), destined to be a rock star, the boy asks, ''Have you accepted Jesus Christ as your lord and saviour?'' ''No,'' Hedwig answers cautiously, ''but I love his work.'' This is a one-of-a-kind, intensely visual film about a boy who has an almost successful sex-change operation and goes on to a pathetic music career. It's based on Mr. Mitchell's splashy Off Broadway musical, and he may well be the only person who can do the character justice -- Saturday at 8 p.m. and Saturday/Early Sunday at 1 a.m. on IFC."
entertainment,"SHARK TALE (2004) Saturday at 8 p.m. on HBO. It's one of those freakish accidents. A tough guy decides to mug a mild-mannered Everyman but accidentally kills himself in the process. When everybody assumes Oscar (the Everyman) saved himself, he decides just to go along and enjoy the hero worship, which includes being pursued by a femme fatale named Lola. That breaks the heart of the pretty receptionist who secretly loves him. And it all takes place deep in the ocean. This animated fantasy from DreamWorks stars the voices of Will Smith, Angelina Jolie and Renée Zellweger as the fish in that romantic triangle; Robert De Niro as the local mob boss; and Jack Black as Lenny (above), his sensitive, vegetarian son. The film doesn't have the charm of ""Finding Nemo,"" but it's fun and there are plenty of jokes for the grown-ups."
entertainment," LOS ANGELES, March 23 — After days of fretting about how they might be toned down or whether it was even appropriate to hold them, the 75th Annual Academy Awards were pretty much business as usual in Hollywood tonight, with ""Chicago"" winning best picture and five other Oscars while losing a few upsets to ""The Pianist."" "
entertainment,"About midpoint in THE BIG COUNTRY (1958), there's a terrific panoramic shot of Gregory Peck and Charlton Heston fiercely slugging it out against a sweep of land and sky. The photography, impact and surprise of this moment pinpoint the classy visual frame that encloses a fairly routine western story. Hooray for William Wyler's razor direction. It's kind of Hatfield-McCoy clash over water rights. A pro like Wyler keeps it humming with an able cast: Burl Ives (especially good as a leathery patriarch), Carroll Baker, Jean Simmons, Charles Bickford, and Chuck Connors - SAT. at 10 P.M. on FAM."
health,"Scientists trying to develop vaccines against Africa's deadly Marburg and Ebola viruses are reporting an important milestone, a new type of vaccine that prevents the diseases in monkeys. Successfully immunizing monkeys is an essential step toward the goal of producing vaccines for people. "
health," As Margaret Tracey floated across the Lincoln Center stage on Sunday afternoon, every line of a perfectly fit ballerina's body where every line ought to be, it was impossible to believe that little more than six months ago she was, as grandmother used to say, great with child. "
health," BARCELONA, Spain, July 12 — Two former presidents, Nelson Mandela of South Africa and Bill Clinton of the United States, urged current heads of state and business executives today to exert stronger leadership in promoting programs to stop the AIDS epidemic. "
health," GENEVA, July 21 — As a 5-year-old during the Korean War, Jong Wook Lee had to walk 250 miles for 60 days through snow, ice and bitter cold with his mother and two brothers. They marched to join Dr. Lee's father, a civil servant who had earlier been sent from Seoul to Taegu. "
health,"An advisory committee to the World Health Organization has recommended that Russian and American scientists be allowed to manipulate a gene in the smallpox virus for the first time to speed up discovery of drugs effective against the virus, the agency said today."
