category,description
politics,"Peter Meijer, the one-term Republican congressman who lost his seat after voting to impeach President Donald J. Trump, has announced he is running for Senate in Michigan, jumping into a crowded primary in a key battleground."
politics,"WASHINGTON — President Trump and congressional Republicans, who are eager to find an issue that can help minimize the losses they expect in the midterm elections, are leaning hard into crime, illegal immigration and public safety to paint a bleak picture of how the country would become less safe under a Democratic-controlled Congress."
politics,"Robert F. Kennedy Jr., the independent presidential candidate, said this week that he would cut military spending by half by the end of his first term as president, and said the United States should have a reduced role in global affairs."
economy,"FIRST there was a town house filled with goods from the Midwest, a quiet presence in TriBeCa. Then came a slightly louder storefront showcasing home furnishings in Rockefeller Center. Finally, during the dog days of summer, a two-story glass box full of cat food and mewling felines materialized on Fifth Avenue, across from the massive stone lions flanking the New York Public Library."
economy,"In a move to bolster its real estate arm, the brokerage firm BGC Partners has struck another takeover."
economy,"""Outlaw Women,"" which had the effrontery to open at the Holiday Theatre yesterday, is, in a way, an event. It is probably the worst motion picture to open at a first-run Broadway house so far this year. The direction by Samuel Newfield lacks professional competence.The responsibility for the inept story, which deals with a Western town run by a gang of tough female gamblers having trouble with male outlaws who want to take over, can be laid to Orville Hampton. The cast goes through a series of tired, meaningless motions that add up to nothing. When Piute Bill says, ""They look like women, but they never act like one,"" he states a fact."
economy,"THE Small Business Administration got a lesson this year about size -- specifically, the size of sacred cows."
economy,"HONG KONG — Advanced Semiconductor Engineering, a Taiwanese company that assembles and tests chips, is not giving up its multibillion-dollar pursuit of its local competitor, Siliconware Precision Industries."
economy,The Securities and Exchange Commission today approved on a 4-to-0 vote an accounting device to let companies dress up their financial condition and show higher earnings by wiping long- term debt off their balance sheets.
economy,"HONG KONG — Shares in China Reinsurance Group rose 2.6 percent during the early hours of their Hong Kong market debut on Monday, the first of several initial public offerings testing the waters after a turbulent summer in Chinese stocks."
economy,"SEOUL, South Korea — A court here on Wednesday rejected an attempt by the American activist investor Paul E. Singer to block a shareholders’ vote later this month on the proposed merger between two subsidiaries of Samsung."
economy,"HATTIESBURG, Miss. - NANOTECHNOLOGY deals with the tiniest dimensions that engineers have ever worked in to manipulate materials into new products. But entrepreneurs hoping to turn nanoscale innovations into profitable businesses face huge challenges."
economy,"Uber, the ride-hailing start-up, is a $40 billion juggernaut, but it is not without competition."
entertainment,"ED Sullivan may best be remembered for introducing the Beatles to America. But the impresario whose promise of ''a rilly big shew'' drew millions of viewers every Sunday night from 1948 to 1971 also brought many ''rilly big'' opera stars into homes across the country, often for the first time. The list of singers who appeared is formidable: Renata Tibaldi, Joan Sutherland, Richard Tucker and Franco Corelli are some."
entertainment,"COULD Jack Paar make time for an interview about the public television documentary on his broadcasting career? ''We'll try for an hour,'' said the publicity man for WNET. ''But be prepared to stay longer,'' he added. ''Jack likes to talk, you know.''"
entertainment,"After the third day of filming ''The Original Wives Club,'' the 10th episode in the HBO mini-series ''From the Earth to the Moon,'' the director, Sally Field, lay sprawled on the floor and begged anyone within earshot to ''just shoot me.''"
entertainment,"A sizzling little western co-starring two Hollywood legends, a fable set in London, an expert version of a classic play about journalists and a salute to a yesteryear's Cuba are standouts on this week's movie schedule."
entertainment,"THE ''Sex and the City'' side of Sarah Jessica Parker was bubbling to the surface way back in the Reagan administration: there she is in FOOTLOOSE (1984), unable to restrain herself from leaping up and dancing, even though such activity has been expressly forbidden by the local clergyman (John Lithgow), who opens the film by preaching a memorable tirade against the evils of rock 'n' roll. Almost everyone in the conservative rural town is following his lead, but lurking in the congregation is Kevin Bacon, a high schooler who has just moved down from Chicago. He sets out to get teenagers dancing again, and with the help of the minister's daughter, played by Lori Singer, and her friend Rusty (Ms. Parker), he succeeds -- Saturday at 10:30 p.m. on TNT."
entertainment,"CHRISTOPHER Keyser, a creator of the Fox Network's ''Party of Five,'' is finally able to chuckle over the dark season that followed the fall 1994 debut of the unusual family drama. Now that the critically lauded, ever more popular ''Party of Five'' begins its third season on Wednesday, Aug. 21, Mr. Keyser says he can at last stop crossing his fingers overthe fate of his once left-for-dead series."
entertainment,"EARLY in John Cameron Mitchell's HEDWIG AND THE ANGRY INCH (2001), Hedwig (Mr. Mitchell) reflects on his East German childhood: ''Our apartment was so small that Mother made me play in the oven.'' Later, when Hedwig meets a teenage boy, Tommy (Michael Pitt), destined to be a rock star, the boy asks, ''Have you accepted Jesus Christ as your lord and saviour?'' ''No,'' Hedwig answers cautiously, ''but I love his work.'' This is a one-of-a-kind, intensely visual film about a boy who has an almost successful sex-change operation and goes on to a pathetic music career. It's based on Mr. Mitchell's splashy Off Broadway musical, and he may well be the only person who can do the character justice -- Saturday at 8 p.m. and Saturday/Early Sunday at 1 a.m. on IFC."
entertainment,"SHARK TALE (2004) Saturday at 8 p.m. on HBO. It's one of those freakish accidents. A tough guy decides to mug a mild-mannered Everyman but accidentally kills himself in the process. When everybody assumes Oscar (the Everyman) saved himself, he decides just to go along and enjoy the hero worship, which includes being pursued by a femme fatale named Lola. That breaks the heart of the pretty receptionist who secretly loves him. And it all takes place deep in the ocean. This animated fantasy from DreamWorks stars the voices of Will Smith, Angelina Jolie and Renée Zellweger as the fish in that romantic triangle; Robert De Niro as the local mob boss; and Jack Black as Lenny (above), his sensitive, vegetarian son. The film doesn't have the charm of ""Finding Nemo,"" but it's fun and there are plenty of jokes for the grown-ups."
entertainment," LOS ANGELES, March 23 — After days of fretting about how they might be toned down or whether it was even appropriate to hold them, the 75th Annual Academy Awards were pretty much business as usual in Hollywood tonight, with ""Chicago"" winning best picture and five other Oscars while losing a few upsets to ""The Pianist."" "
entertainment,"About midpoint in THE BIG COUNTRY (1958), there's a terrific panoramic shot of Gregory Peck and Charlton Heston fiercely slugging it out against a sweep of land and sky. The photography, impact and surprise of this moment pinpoint the classy visual frame that encloses a fairly routine western story. Hooray for William Wyler's razor direction. It's kind of Hatfield-McCoy clash over water rights. A pro like Wyler keeps it humming with an able cast: Burl Ives (especially good as a leathery patriarch), Carroll Baker, Jean Simmons, Charles Bickford, and Chuck Connors - SAT. at 10 P.M. on FAM."
politics,"McALLEN, Texas — The front door of the Hidalgo County Republican Party’s office is covered with photographs of high-profile politicians in the party: Gov. Greg Abbott, Senator John Cornyn and former President Donald J. Trump. Nearly all of them are white men."
politics,"Donald J. Trump was back on his feet. He had just been shot at, his white shirt was undone and his red hat was no longer on his head. Blood streaked across his face as riflemen patrolled the perimeter of the stage. A pack of Secret Service agents pressed their bodies against his. “We’ve got to move, we’ve got to move,” one pleaded."
politics,They were once members of a select club of Republican governors with White House aspirations.
politics,"As the results rolled in on Tuesday night, a feeing of déjà vu arrived along with them. Pre-election polls, it appeared, had been misleading once again."
politics,"Former President Donald J. Trump acknowledged this week that Republican positions on abortion were hurting the party, but offered few details after claiming he knew how to thread the needle."
politics,Donald J. Trump has appeared unconcerned with the possibility of angering Latinos since declaring during the announcement of his presidential campaign in June that Mexico was sending rapists to the United States.
politics,"On Tuesday, Donald J. Trump’s campaign started running a negative ad in South Carolina against Senator Ted Cruz that was searing, describing the winner of the Iowa Republican caucuses as a fake and a “Washington insider.”"
politics,"Senator Kamala Harris of California released a sweeping proposal on Monday to overhaul the criminal justice system, vowing to end mass incarceration and revamp police practices through a progressive wish list of policies, including some ideas Ms. Harris previously rejected during her years as a district attorney and state attorney general."
politics,"Campaign aides for Senator Bernie Sanders of Vermont said Monday night that the Democratic Party did not collect the results of 90 Iowa precincts, which is about 5 percent of all votes cast in the state, because the party had failed to properly staff the precincts."
politics,"It’s a time-honored tradition that candidates head to church services around the holidays, and in this way, Donald J. Trump is adhering to convention. "
economy,Wells Fargo’s profit machine showed signs of slowing in the first quarter as the bank reported a rare decline in net income from a year ago.
economy,"JUAN CARLOS TORRES has a hard-to-find skill: he knows how to disassemble, clean, refurbish and test more than 60 models of laser printer cartridges, each with its own arrangement of gears, screws, drums and rollers. Mr. Torres, a 31-year-old Mexican who came to the United States illegally seven years ago, has been a godsend for Frank Garcia, the owner of Millennium Remanufactured Toner, a laser cartridge recycling company in the Bronx with 15 employees."
economy,"HONG KONG — China Huarong Asset Management, the largest manager of distressed debt in China, is looking to raise up to $2.5 billion in an initial public offering in Hong Kong this month."
economy,MICROSOFT is offering free software -- two new easy-to-use programs -- to small businesses. Both are full-featured programs that should save business owners time and prove valuable in developing their companies.
economy,"MADRID — Isabel dos Santos, the daughter of the president of Angola and the second-largest investor in BPI, a Portuguese bank, is pushing for the bank to merge with a domestic rival, Millennium BCP, rather than accept a takeover bid from CaixaBank, a Spanish bank."
economy,Federal prosecutors have another month to decide whether to ask the United States Supreme Court to review a critical ruling in an insider trading case involving two former hedge fund traders.
economy,"Grupo FerroAtlántica of Spain and Globe Specialty Metals, which is based in Miami, agreed on Monday to merge in an all-stock deal, creating a big international producer of specialty alloys valued at about $3.1 billion."
economy,"IS there anyone more stylish in New York than GIMMÉ MUR SCHWÄG, the chain-smoking fashion editor of Boldface Names?"
economy,"Most of us have one, or sometimes more than one: a turning point or a moment when our feelings about money crystallize. When that happens, we know it and resolve to think about our finances in a different way while saving, spending or giving away money much more carefully."
economy,"SEVERAL years ago, my husband decided to give me a watch for my birthday. To make sure I got one I really liked, he took me to a watch store so I could pick out my favorite."
entertainment,"YOU may guess the secret about young Stella Meredith (Gail Russell) in THE UNINVITED (1944), but not before you've been properly scared in this old-fashioned, romantic ghost story set in prewar England. Roderick and Pamela Fitzgerald (Ray Milland and Ruth Hussey), brother-and-sister Londoners, set the tale in motion by buying a grand, long vacant country house in Cornwall, on a cliff overlooking the sea. The price is right and the staircase is fabulous, but the dog refuses to go upstairs, the air is always cold in the second-floor studio, and in the middle of the night the new owners hear the mournful sound of a woman crying. ""It comes from everywhere and nowhere,"" Pamela says. ""I've searched. There's never anything there."" Except a satisfyingly creepy story, directed by Lewis Allen, about a scandalous love affair and the mysterious death of Stella's mother -- Sunday at 10 p.m. on TCM."
entertainment,"Some 60 finalists under the age of 15 will follow in the footsteps of last year's winner, George Abraham Thampy (below), when they tackle words from achlamydeous to zygapophysis in the championship round of the Scripps Howard National Spelling Bee, shown Thursday at 10 a.m. (early round) and 1 p.m. (final round) on ESPN."
entertainment,"ANG LEE'S fans can only pray that after ''The Hulk'' he'll return to making less action-happy films. Like ''The Ice Storm,'' ''Sense and Sensibility'' and THE WEDDING BANQUET (1993), the comedy of cultural and sexual manners that first brought him to American moviegoers' attention. It's the story of a gay Chinese man (Winston Chao) living in Greenwich Village who decides he'll marry a woman (May Chin) -- in name only, of course -- just to shut his parents up. Unfortunately Mom and Dad decide to fly over from Taipei for the festivities. That means considerable deception for our hero, from de-gaying the apartment he shares with his lover (Mitchell Lichtenstein) to elaborate unfelt displays of physical affection for his bride, who just wants her green card -- Saturday at 5:30 p.m. on IFC."
entertainment,"At the beginning of VH1's first original movie, ''Sweetwater,'' a man fights off a television reporter trying to get him to talk about his band, which played before half a million people at Woodstock 30 years ago and then disappeared. Why won't he open up? ''Because,'' he scolds the reporter, ''a whatever-happened-to piece with a balding, middle-aged construction foreman telling war stories has humiliation written all over it.''"
entertainment,"IF told that their teenage son was a fire-breathing dragon, most parents of adolescent boys probably wouldn't show much surprise -- what pubescent kid isn't? But for Jake Long, it's no joke. He really is a fire-breathing dragon, at least part of the time; otherwise he's a typical 13-year-old Manhattan middle school student, hurtling through life on a skateboard with his pals Spud, a mellow slacker, and Trixie, a homegirl with attitude. The son of a Chinese mother and a father from the Midwest, Jake exemplifies the American melting pot with an extra-strong dash of Asian hot sauce."
entertainment,"''BELIEVE me, he don't take it from nobody,'' says Vincent D'Onofrio as Robert E. Howard, describing his creation Conan the Barbarian. ''He'll fight man, beast, devil or god.'' THE WHOLE WIDE WORLD (1996), a wonderfully acted romantic drama, reveals the awful truth: big, bad Conan was created by a small-town Texas boy still living at home with his parents. Bob's love interest, Novalyne Price (Renee Zellweger), is a teacher but also an aspiring writer (with a stack of rejection slips from confession magazines). Bob impresses her, even when he brings her a copy of Weird Tales magazine, but there are problems. He's creepily close to his mother and has some deep-seated anger. This film, directed by Dan Ireland, was released just before Ms. Zellweger won America's collective heart in ''Jerry Maguire.'' She might not have the courage to do Novalyne's unglamorous lumbering walk these days -- Sunday at 6 p.m. on WE."
entertainment,"VARIETY spices television's movie menu this week with a smooth version of a Lonsdale play, a crackling adventure with an exotic Himalayan setting, a sinister tale of insurance fraud and a Cole Porter musical buoyed by one of his top scores."
entertainment,"When the filmmakers Kirk Simon and Karen Goodman decided to explore the ups and downs of childhood, their first step was to venture behind the classroom door -- for about a year."
entertainment,"''Life is putting Prozac to the test,'' says the mobster and family man Tony Soprano (James Gandolfini) in a clip from ''The Sopranos.'' In the opinion of David Chase, that HBO show's creator and lead writer, life should do as much for television. Mr. Chase gets the most from the medium. Early in his career he wrote movies, but television was more about people. ''You could explore characters and not be so plot-driven,'' he says on ''Influences,'' a new series starting tonight at 7:30 and running for eight Sundays on Bravo."
entertainment,"IN the myth of Orpheus and Eurydice, Orpheus plays the lyre so beautifully that he charms the gods of the underworld into letting him take his dead wife back to earth and life. Well, as long as he can resist looking at her en route (and you know how that sort of thing usually turns out). In Marcel Camus's BLACK ORPHEUS (1959), set during Carnival in Rio de Janeiro, Orpheus (Breno Mello) is a guitarist in love with a country girl (Marpessa Dawn) who is being stalked by a man in a skeleton costume. This intensely atmospheric film, with its haunting samba score, won the best foreign-language film Oscar and the Cannes Film Festival's Palme d'Or -- Sunday at 2 p.m and Sunday/Early Monday at 4 a.m. on Bravo."
politics,Welcome to our weekly analysis of the state of the 2020 campaign.
politics,Two Republican operatives who played senior roles helping the presidential campaign of Gov. Ron DeSantis of Florida have taken on leadership roles in a new pro-Trump super PAC that could spend tens of millions of dollars in the presidential race and has ties to Elon Musk.
politics,"SILVER SPRING, Md. — Tuesday’s primary elections for Maryland governor come at a moment when Democrats are jittery, unsure of the future and perhaps willing to bet on a flashy, unproven commodity."
politics,"WASHINGTON — The White House on Wednesday said that President Obama would travel to Flint, Mich., next week to hear from residents affected by the water crisis there and get a briefing on federal response efforts. "
politics,"GULFPORT, Miss. — Howard Benson, a retired middle school guidance counselor, went up to Gov. John Kasich of Ohio after an event in Massachusetts last weekend to offer some advice: His campaign should fashion a commercial out of the footage of an emotional moment Mr. Kasich had with a young supporter last week. "
politics,"Hillary Rodham Clinton had planned to focus her remarks Wednesday at a Politics and Eggs breakfast in Manchester, N.H., in support of the politically fraught, if somewhat arcane, issue of the Export-Import Bank and how it helps small businesses in the United States. "
